epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6484.49,1.08503,0.65122,1.09492,0.88317,0.8412,0.86673,0.58075,0.88613,0.52929,0.97448,0.0091882,0.0091882,0.0091882
43,6638.13,1.09822,0.64056,1.10665,0.88008,0.77088,0.84945,0.57639,0.88672,0.50954,0.97245,0.0091684,0.0091684,0.0091684
44,6792.15,1.09445,0.63666,1.08827,0.84815,0.8219,0.85703,0.57475,0.87768,0.51359,0.96658,0.0091486,0.0091486,0.0091486
45,6945.87,1.07704,0.636,1.09277,0.82948,0.77772,0.85508,0.59326,0.87623,0.50137,0.96823,0.0091288,0.0091288,0.0091288
46,7100.1,1.10059,0.64661,1.09101,0.82517,0.82369,0.85014,0.57748,0.90067,0.5298,0.97446,0.009109,0.009109,0.009109
47,7254.36,1.07504,0.62095,1.08811,0.88832,0.76194,0.83464,0.56189,0.87674,0.51155,0.96831,0.0090892,0.0090892,0.0090892
48,7408.55,1.08461,0.62301,1.09308,0.84891,0.7941,0.85965,0.58197,0.87671,0.50645,0.96082,0.0090694,0.0090694,0.0090694
49,7563.1,1.08018,0.63748,1.08652,0.86084,0.81087,0.86192,0.59795,0.88506,0.50806,0.96714,0.0090496,0.0090496,0.0090496
50,7717.64,1.07197,0.62511,1.09045,0.83829,0.83375,0.87197,0.57371,0.89519,0.5129,0.96628,0.0090298,0.0090298,0.0090298
51,7871.86,1.07354,0.62563,1.08466,0.85596,0.80758,0.87565,0.59791,0.89298,0.49526,0.96853,0.00901,0.00901,0.00901
52,8026.48,1.06493,0.61903,1.08756,0.87793,0.83681,0.87446,0.56167,0.89102,0.49947,0.96836,0.0089902,0.0089902,0.0089902
53,8180.74,1.06412,0.60487,1.07787,0.85419,0.86302,0.87795,0.59224,0.8677,0.48033,0.95781,0.0089704,0.0089704,0.0089704
54,8334.56,1.07178,0.6132,1.08352,0.85195,0.78274,0.84264,0.57476,0.8751,0.48379,0.96157,0.0089506,0.0089506,0.0089506
55,8488.16,1.06939,0.60829,1.0803,0.86947,0.84966,0.87359,0.58741,0.87244,0.49165,0.96767,0.0089308,0.0089308,0.0089308
56,8641.96,1.0813,0.61399,1.08226,0.88675,0.83238,0.86421,0.58529,0.88001,0.48473,0.96205,0.008911,0.008911,0.008911
57,8795.9,1.06666,0.60808,1.07472,0.91804,0.78233,0.86341,0.58331,0.86999,0.49039,0.96129,0.0088912,0.0088912,0.0088912
58,8949.46,1.04804,0.59339,1.07018,0.89384,0.82777,0.87866,0.5973,0.87579,0.47056,0.95814,0.0088714,0.0088714,0.0088714
59,9103.07,1.05269,0.58786,1.07793,0.86912,0.85249,0.86571,0.57899,0.90319,0.46844,0.96146,0.0088516,0.0088516,0.0088516
60,9256.71,1.04962,0.58956,1.07937,0.86644,0.82156,0.87601,0.58541,0.87019,0.46047,0.96046,0.0088318,0.0088318,0.0088318
61,9410.4,1.0448,0.58496,1.07458,0.85544,0.83564,0.86638,0.59493,0.87518,0.45694,0.96275,0.008812,0.008812,0.008812
62,9563.82,1.04316,0.58694,1.07084,0.84753,0.82165,0.86933,0.59539,0.8659,0.46273,0.95555,0.0087922,0.0087922,0.0087922
63,9717.4,1.02767,0.58369,1.06346,0.85378,0.84458,0.87228,0.60324,0.87421,0.44924,0.96484,0.0087724,0.0087724,0.0087724
64,9871.24,1.04956,0.5866,1.07377,0.85536,0.84483,0.87774,0.58572,0.88003,0.46072,0.96315,0.0087526,0.0087526,0.0087526
65,10024.6,1.03565,0.58217,1.06548,0.91582,0.82501,0.87849,0.59154,0.87483,0.4485,0.96136,0.0087328,0.0087328,0.0087328
66,10178.1,1.02574,0.58719,1.06638,0.8855,0.8471,0.88093,0.58566,0.88864,0.44617,0.96836,0.008713,0.008713,0.008713
67,10332.1,1.04609,0.58334,1.06896,0.88608,0.82798,0.88468,0.58471,0.87253,0.45615,0.95687,0.0086932,0.0086932,0.0086932
68,10485.9,1.02879,0.5852,1.06445,0.86124,0.83379,0.87886,0.58756,0.86539,0.45843,0.9531,0.0086734,0.0086734,0.0086734
69,10640.3,1.03536,0.57105,1.06428,0.87656,0.81275,0.87906,0.58364,0.86483,0.45385,0.95942,0.0086536,0.0086536,0.0086536
70,10794.2,1.01482,0.55711,1.0588,0.90665,0.81921,0.88466,0.59361,0.87012,0.45661,0.95845,0.0086338,0.0086338,0.0086338
71,10947.8,1.03318,0.57331,1.06345,0.89175,0.84923,0.88,0.5994,0.85996,0.45665,0.95435,0.008614,0.008614,0.008614
72,11101.6,1.0266,0.57423,1.06023,0.90253,0.83731,0.87699,0.59016,0.8674,0.45355,0.95864,0.0085942,0.0085942,0.0085942
73,11255.3,1.01406,0.56872,1.05029,0.89355,0.82253,0.89114,0.59277,0.87486,0.44342,0.95689,0.0085744,0.0085744,0.0085744
74,11409.4,1.00671,0.56325,1.06082,0.89027,0.84494,0.89032,0.5978,0.86923,0.44282,0.94917,0.0085546,0.0085546,0.0085546
75,11563.8,1.01268,0.55714,1.05423,0.85641,0.84934,0.89026,0.6079,0.86463,0.44983,0.95092,0.0085348,0.0085348,0.0085348
76,11718.3,1.01012,0.56662,1.05669,0.88364,0.84768,0.89175,0.60501,0.86523,0.44252,0.9515,0.008515,0.008515,0.008515
77,11872.4,1.00983,0.56348,1.05978,0.88759,0.83792,0.88702,0.59509,0.86351,0.45131,0.95931,0.0084952,0.0084952,0.0084952
78,12026.3,0.99765,0.55123,1.05445,0.89278,0.83199,0.88349,0.59719,0.86923,0.44606,0.97088,0.0084754,0.0084754,0.0084754
79,12179.8,1.01066,0.55996,1.06105,0.90251,0.8126,0.89229,0.61032,0.86435,0.44387,0.96125,0.0084556,0.0084556,0.0084556
80,12333.6,0.99983,0.5583,1.04676,0.87623,0.85058,0.89645,0.60372,0.86336,0.4401,0.96183,0.0084358,0.0084358,0.0084358
81,12487.2,0.98988,0.55253,1.04846,0.90983,0.83934,0.90385,0.5983,0.86721,0.43563,0.95726,0.008416,0.008416,0.008416
82,12640.7,0.99671,0.5554,1.04722,0.92221,0.83795,0.901,0.61506,0.86228,0.42581,0.95468,0.0083962,0.0083962,0.0083962
83,12794.4,0.99584,0.5565,1.0491,0.89999,0.82586,0.89413,0.61237,0.86873,0.42972,0.9556,0.0083764,0.0083764,0.0083764
84,12947.5,0.97901,0.53906,1.04275,0.89355,0.82594,0.89243,0.61413,0.87065,0.43872,0.95472,0.0083566,0.0083566,0.0083566
85,13101,0.98509,0.54438,1.04392,0.89339,0.86207,0.88898,0.61047,0.87097,0.44168,0.95631,0.0083368,0.0083368,0.0083368
86,13254.4,0.98411,0.54879,1.03636,0.89708,0.85033,0.87998,0.60259,0.86772,0.44528,0.9574,0.008317,0.008317,0.008317
87,13407.8,0.98466,0.54508,1.04142,0.89864,0.84534,0.8804,0.6032,0.87412,0.44039,0.96137,0.0082972,0.0082972,0.0082972
88,13561.1,0.98202,0.54387,1.04416,0.88607,0.86534,0.88827,0.61166,0.87134,0.43549,0.96028,0.0082774,0.0082774,0.0082774
89,13714.3,0.98748,0.54559,1.03896,0.88539,0.86599,0.87804,0.59925,0.87326,0.43569,0.96398,0.0082576,0.0082576,0.0082576
90,13867.4,0.98573,0.54201,1.04041,0.9025,0.84892,0.87759,0.59383,0.87348,0.43694,0.95813,0.0082378,0.0082378,0.0082378
91,14020.8,0.96438,0.53745,1.03298,0.87797,0.85929,0.8789,0.59588,0.87155,0.43234,0.95931,0.008218,0.008218,0.008218
92,14174.7,0.97785,0.54286,1.03455,0.88106,0.85868,0.87849,0.59065,0.87636,0.43398,0.961,0.0081982,0.0081982,0.0081982
93,14328.8,0.96203,0.53257,1.03237,0.88968,0.86197,0.8888,0.60413,0.87631,0.43265,0.95849,0.0081784,0.0081784,0.0081784
94,14482.8,0.98045,0.54146,1.03971,0.891,0.85445,0.89264,0.60633,0.87616,0.42769,0.95991,0.0081586,0.0081586,0.0081586
95,14636.4,0.95165,0.5306,1.02781,0.86303,0.86274,0.89472,0.61111,0.88023,0.42442,0.96084,0.0081388,0.0081388,0.0081388
96,14790.6,0.95933,0.53196,1.03169,0.8863,0.85481,0.89199,0.60592,0.8755,0.42464,0.95812,0.008119,0.008119,0.008119
97,14945.2,0.96719,0.53335,1.03847,0.87934,0.85222,0.88996,0.60264,0.87348,0.42241,0.95968,0.0080992,0.0080992,0.0080992
98,15099.6,0.96128,0.52494,1.03404,0.90277,0.83661,0.895,0.60356,0.86985,0.42479,0.95718,0.0080794,0.0080794,0.0080794
99,15253.7,0.95379,0.52695,1.02909,0.88167,0.84759,0.88742,0.59549,0.87148,0.42726,0.95921,0.0080596,0.0080596,0.0080596
100,15407.7,0.96967,0.53966,1.03512,0.88851,0.85032,0.88869,0.60261,0.87003,0.42271,0.96196,0.0080398,0.0080398,0.0080398
101,15561.4,0.94857,0.53044,1.03333,0.90237,0.84387,0.89082,0.60211,0.86993,0.42067,0.95773,0.00802,0.00802,0.00802
102,15714.7,0.95231,0.52734,1.02683,0.88351,0.86385,0.88728,0.60242,0.87104,0.42226,0.95694,0.0080002,0.0080002,0.0080002
103,15868.5,0.94886,0.52656,1.02651,0.923,0.84823,0.89395,0.60335,0.86941,0.42469,0.95869,0.0079804,0.0079804,0.0079804
104,16021.5,0.93623,0.51552,1.02624,0.92632,0.83531,0.88704,0.60173,0.86988,0.425,0.95775,0.0079606,0.0079606,0.0079606
105,16173.9,0.95531,0.52534,1.02493,0.92463,0.83507,0.88991,0.59857,0.87087,0.42296,0.95666,0.0079408,0.0079408,0.0079408
106,16327,0.9472,0.51933,1.02778,0.92222,0.83728,0.89089,0.60048,0.87234,0.41889,0.95596,0.007921,0.007921,0.007921
107,16480.7,0.93323,0.51864,1.02189,0.91928,0.82847,0.88435,0.59862,0.87168,0.42049,0.95311,0.0079012,0.0079012,0.0079012
108,16633.9,0.9274,0.51266,1.01268,0.89987,0.84359,0.88238,0.60259,0.86522,0.41803,0.94964,0.0078814,0.0078814,0.0078814
109,16787.3,0.92728,0.50493,1.01713,0.88173,0.84125,0.88223,0.59871,0.86213,0.4167,0.94871,0.0078616,0.0078616,0.0078616
110,16941.1,0.92889,0.50256,1.01204,0.88767,0.84789,0.8774,0.60318,0.86537,0.41415,0.95062,0.0078418,0.0078418,0.0078418
111,17094.2,0.92461,0.50975,1.01823,0.88565,0.8512,0.86879,0.59601,0.86715,0.41644,0.95193,0.007822,0.007822,0.007822
112,17247.1,0.90162,0.49924,1.00914,0.88551,0.85442,0.86975,0.59833,0.87011,0.41898,0.95256,0.0078022,0.0078022,0.0078022
113,17400.4,0.92318,0.51267,1.01687,0.88542,0.83605,0.87618,0.60339,0.87026,0.41577,0.95182,0.0077824,0.0077824,0.0077824
114,17554,0.90953,0.4996,1.0051,0.8958,0.83538,0.87793,0.60003,0.87205,0.41463,0.95197,0.0077626,0.0077626,0.0077626
115,17707.4,0.91808,0.50319,1.0123,0.90752,0.84475,0.87614,0.59844,0.87371,0.41391,0.95278,0.0077428,0.0077428,0.0077428
116,17861,0.93341,0.50491,1.01825,0.90712,0.84744,0.87615,0.60076,0.87241,0.41436,0.95226,0.007723,0.007723,0.007723
117,18015,0.92077,0.49501,1.00685,0.9122,0.85637,0.88231,0.59815,0.87229,0.41131,0.95123,0.0077032,0.0077032,0.0077032
118,18168.9,0.90178,0.48413,1.00646,0.91061,0.86213,0.88246,0.5945,0.8692,0.41214,0.94802,0.0076834,0.0076834,0.0076834
119,18323.1,0.89769,0.49476,1.00036,0.91226,0.85867,0.88227,0.59553,0.87077,0.41087,0.94958,0.0076636,0.0076636,0.0076636
120,18476.7,0.8888,0.48792,0.99933,0.87533,0.86378,0.88012,0.59583,0.87281,0.41063,0.9503,0.0076438,0.0076438,0.0076438
121,18630.8,0.89669,0.48991,1.00456,0.88222,0.86347,0.87695,0.59501,0.87517,0.40839,0.95278,0.007624,0.007624,0.007624
122,18785,0.87861,0.48158,1.00016,0.88199,0.86148,0.87565,0.59242,0.87565,0.40812,0.9535,0.0076042,0.0076042,0.0076042
123,18938.7,0.88778,0.485,0.99621,0.87182,0.86364,0.87841,0.59693,0.87458,0.41011,0.95331,0.0075844,0.0075844,0.0075844
124,19092.3,0.89778,0.49004,1.00093,0.86745,0.86593,0.87826,0.59805,0.87232,0.4106,0.95273,0.0075646,0.0075646,0.0075646
125,19245.9,0.89243,0.48995,1.00457,0.86885,0.86419,0.87514,0.59861,0.86579,0.40888,0.94793,0.0075448,0.0075448,0.0075448
126,19399.1,0.88237,0.48176,0.99256,0.87069,0.86416,0.8744,0.59857,0.86959,0.41084,0.95169,0.007525,0.007525,0.007525
127,19552.9,0.89518,0.48492,1.00108,0.87231,0.86457,0.87581,0.59822,0.86797,0.40757,0.94868,0.0075052,0.0075052,0.0075052
128,19706.3,0.89546,0.48686,0.99826,0.87454,0.86249,0.87586,0.59859,0.86667,0.40689,0.94845,0.0074854,0.0074854,0.0074854
129,19859.2,0.89957,0.48645,1.00365,0.86213,0.85134,0.87541,0.5978,0.86565,0.40927,0.9491,0.0074656,0.0074656,0.0074656
130,20012.6,0.88581,0.48242,1.0031,0.8731,0.86546,0.87581,0.59698,0.865,0.40717,0.94886,0.0074458,0.0074458,0.0074458
131,20166.3,0.86309,0.47405,0.99512,0.87321,0.86557,0.87706,0.59609,0.86525,0.40754,0.94949,0.007426,0.007426,0.007426
132,20319.7,0.87034,0.47998,0.99507,0.8722,0.86297,0.87722,0.59546,0.86556,0.40779,0.94961,0.0074062,0.0074062,0.0074062
133,20472.9,0.88211,0.476,0.99677,0.87358,0.85889,0.87651,0.59601,0.8656,0.40866,0.94978,0.0073864,0.0073864,0.0073864
134,20626.2,0.8644,0.46793,0.995,0.86891,0.85248,0.88178,0.60018,0.86683,0.40764,0.95064,0.0073666,0.0073666,0.0073666
135,20779.7,0.85558,0.46841,0.99281,0.86831,0.85181,0.88137,0.60047,0.86707,0.40855,0.95168,0.0073468,0.0073468,0.0073468
