                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.77418,                 0.5287,                 1.0442,                0.98664,                0.96163,                0.98172,                0.85979,                0.58586,                0.28597,                0.99506,               0.006436,               0.006436,               0.006436
                     38,                0.77563,                0.52703,                 1.0514,                0.99077,                 0.9598,                0.98125,                0.85587,                0.59604,                0.28846,                0.99439,               0.006337,               0.006337,               0.006337
                     39,                  0.771,                0.52163,                 1.0489,                0.99245,                0.95768,                0.98241,                0.86447,                0.57131,                0.28196,                0.98956,               0.006238,               0.006238,               0.006238
                     40,                0.76899,                0.52728,                 1.0456,                0.99123,                0.96139,                0.98188,                0.85956,                0.58889,                0.28653,                0.99077,               0.006139,               0.006139,               0.006139
                     41,                0.76094,                0.51696,                  1.045,                0.99218,                0.95909,                0.98207,                0.86439,                0.57199,                0.28137,                0.98675,                0.00604,                0.00604,                0.00604
                     42,                0.75091,                0.51147,                 1.0366,                0.99177,                0.96214,                0.98267,                0.86834,                0.56729,                 0.2785,                0.98116,               0.005941,               0.005941,               0.005941
                     43,                0.75218,                0.50852,                 1.0393,                0.99222,                0.95993,                0.98186,                 0.8651,                0.56897,                0.28065,                0.98319,               0.005842,               0.005842,               0.005842
                     44,                0.75775,                0.51502,                 1.0424,                0.99018,                0.96047,                0.98193,                0.86617,                0.57015,                0.27862,                0.98447,               0.005743,               0.005743,               0.005743
                     45,                0.74925,                0.50824,                 1.0367,                0.99173,                0.96102,                0.98175,                0.87026,                0.55736,                0.27402,                0.97443,               0.005644,               0.005644,               0.005644
                     46,                0.74701,                0.50353,                 1.0373,                0.99201,                0.96093,                0.98186,                0.86709,                 0.5679,                0.27599,                0.98111,               0.005545,               0.005545,               0.005545
                     47,                0.74436,                0.50104,                 1.0324,                0.99272,                0.95945,                0.98232,                 0.8703,                0.55766,                0.27414,                0.97705,               0.005446,               0.005446,               0.005446
                     48,                0.73598,                0.49385,                 1.0297,                0.99162,                0.96001,                0.98213,                0.87292,                0.55235,                0.27205,                0.97402,               0.005347,               0.005347,               0.005347
                     49,                0.73996,                0.49786,                 1.0361,                0.99199,                0.96083,                0.98229,                0.87316,                0.54826,                0.27017,                0.97258,               0.005248,               0.005248,               0.005248
                     50,                0.72555,                 0.4903,                 1.0266,                0.99149,                0.96099,                0.98203,                 0.8723,                0.55485,                0.27068,                0.97292,               0.005149,               0.005149,               0.005149
                     51,                0.72882,                0.49589,                 1.0271,                0.99358,                 0.9592,                0.98286,                  0.876,                0.54579,                0.26829,                0.97135,                0.00505,                0.00505,                0.00505
                     52,                0.72661,                0.48701,                 1.0267,                0.99294,                0.96021,                0.98309,                0.87801,                0.53856,                0.26734,                0.96727,               0.004951,               0.004951,               0.004951
                     53,                0.73107,                0.48713,                 1.0309,                0.99079,                0.96235,                0.98307,                0.87658,                0.54283,                0.26724,                0.96779,               0.004852,               0.004852,               0.004852
                     54,                0.72154,                0.48203,                 1.0249,                0.99081,                0.96083,                0.98255,                0.87903,                0.53921,                0.26454,                0.96796,               0.004753,               0.004753,               0.004753
                     55,                0.71983,                0.48444,                 1.0227,                0.99075,                0.95953,                0.98294,                0.88042,                 0.5361,                0.26444,                0.96565,               0.004654,               0.004654,               0.004654
                     56,                0.70899,                0.47487,                 1.0207,                0.99195,                0.95966,                0.98283,                0.88169,                0.53112,                0.26084,                0.96142,               0.004555,               0.004555,               0.004555
                     57,                0.71289,                0.47764,                 1.0217,                0.99157,                0.95925,                0.98308,                0.88112,                0.53003,                0.26039,                0.96201,               0.004456,               0.004456,               0.004456
                     58,                0.70471,                 0.4711,                 1.0174,                0.99117,                0.96027,                0.98287,                0.88225,                 0.5298,                0.25989,                0.96246,               0.004357,               0.004357,               0.004357
                     59,                0.71224,                0.47211,                 1.0235,                0.99202,                0.95961,                0.98282,                0.88179,                0.53147,                 0.2595,                 0.9631,               0.004258,               0.004258,               0.004258
                     60,                0.70428,                0.46936,                 1.0195,                0.99274,                0.95864,                0.98335,                0.88252,                0.53031,                0.25889,                0.96382,               0.004159,               0.004159,               0.004159
